tx_dropped, rx_packets, rx_crc_err, tx_bytes, rx_dropped, port_no, rx_over_err, rx_frame_err, rx_bytes, tx_errors, duration_nsec, collisions, duration_sec, rx_errors, tx_packets, time
0, 0, 0, 2172711088, 0, 4294967294, 0, 0, 0, 0, 464000000, 0, 10184785, 0, 36210692, 2015-10-30 15:37:57.922267
0, 1591185372, 0, 240351103, 4, 1, 0, 0, 620593930, 0, 464000000, 0, 10184785, 729, 1672996425, 2015-10-30 15:37:57.922267
0, 1677816968, 0, 3380662471, 0, 2, 0, 0, 662116442, 0, 464000000, 0, 10184785, 0, 1522766797, 2015-10-30 15:37:57.922267
0, 0, 0, 2858100, 0, 3, 0, 0, 0, 0, 604000000, 0, 13699, 0, 47635, 2015-10-30 15:37:57.922267
